,Compound_CID,IUPAC_Name,SMILES
0,16131155,"(1S,2R,19R,22R,34S,37R,40R,52S)-22-amino-5,15,43-trichloro-2,31,44,47,49,64-hexahydroxy-21,35,38,54,56,59-hexaoxo-26-sulfooxy-7,13,28-trioxa-20,36,39,53,55,58-hexazaundecacyclo[38.14.2.23,6.214,17.219,34.18,12.123,27.129,33.141,45.010,37.046,51]hexahexaconta-3,5,8,10,12(64),14,16,23(61),24,26,29(60),30,32,41(57),42,44,46(51),47,49,62,65-henicosaene-52-carboxylic acid",C1[C@@H]2C(=O)N[C@@H](C3=CC(=CC(=C3)OC4=C(C=CC(=C4)[C@H](C(=O)N2)N)OS(=O)(=O)O)O)C(=O)N[C@@H]5C6=CC(=C(C(=C6)OC7=C(C=C(C=C7)[C@H]([C@H]8C(=O)N[C@@H](C9=C(C(=CC(=C9)O)O)C2=C(C(=CC(=C2)[C@H](C(=O)N8)NC5=O)Cl)O)C(=O)O)O)Cl)O)OC2=C(C=C1C=C2)Cl
1,6439108,"4-[(Z)-2-hydroxy-5-methyl-7-(3-methyloxiran-2-yl)-4-oxooct-6-enyl]piperidine-2,6-dione",CC1C(O1)/C(=C\C(C)C(=O)CC(CC2CC(=O)NC(=O)C2)O)/C
2,9690107,"(6R,7R)-7-[[(2Z)-2-(carboxymethoxyimino)-2-(1,3-thiazol-4-yl)acetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",C1C=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC=N3)C(=O)O
3,125607,"7,10-bis[[4-(dimethylamino)-5-[5-(5-hydroxy-6-methyloxan-2-yl)oxy-6-methyloxan-2-yl]oxy-6-methyloxan-2-yl]oxy]-9-ethyl-4,6,9,11-tetrahydroxy-8,10-dihydro-7H-tetracene-5,12-dione",CCC1(CC(C2=C(C1OC3CC(C(C(O3)C)OC4CCC(C(O4)C)OC5CCC(C(O5)C)O)N(C)C)C(=C6C(=C2O)C(=O)C7=C(C6=O)C=CC=C7O)O)OC8CC(C(C(O8)C)OC9CCC(C(O9)C)OC1CCC(C(O1)C)O)N(C)C)O
4,5487319,6-[(1R)-1-[(2R)-3-hydroxy-2-methoxypropanoyl]oxyethyl]phenazine-1-carboxylic acid,C[C@H](C1=C2C(=CC=C1)N=C3C(=N2)C=CC=C3C(=O)O)OC(=O)[C@@H](CO)OC
5,5490991,"(3R,5S,6S,7S)-3-[(2S,3S,5S)-5-[(3S,4S,6R)-3,4-diethyl-6-methyl-2,7-dioxabicyclo[2.2.1]heptan-1-yl]-3,5-dimethyloxolan-2-yl]-7-[(2R,3S,4R,5R,6S)-5-ethyl-4,6-dihydroxy-3,6-dimethyloxan-2-yl]-6-hydroxy-5-methyloctan-4-one",CC[C@@H]1[C@@H]([C@@H]([C@H](O[C@]1(C)O)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@@](O2)(C)C34[C@@H](C[C@](O3)([C@@H](O4)CC)CC)C)C)O)C)O
6,9960754,"(12Z,14E)-16-ethyl-6,8,9-trihydroxy-12-(methoxymethyl)-25,27-dimethyl-2-propyl-1-oxa-4-azacyclooctacosa-12,14-diene-3,20,28-trione",CCCC1C(=O)NCC(CC(C(CC/C(=C/C=C/C(CCCC(=O)CCCCC(CC(C(=O)O1)C)C)CC)/COC)O)O)O
7,172407,"2-hydroxy-2-[2-hydroxy-6-[[2-[5-[5-(6-hydroxy-3,5,6-trimethyloxan-2-yl)oxolan-2-yl]-3-(5-methoxy-6-methyloxan-2-yl)oxyoxolan-2-yl]-7-methoxy-2,4,6-trimethyl-1,10-dioxaspiro[4.5]decan-9-yl]methyl]-4-methoxy-3,5-dimethyloxan-2-yl]acetic acid",CC1CC(C(OC1C2CCC(O2)C3CC(C(O3)C4(CC(C5(O4)C(C(CC(O5)CC6C(C(C(C(O6)(C(C(=O)O)O)O)C)OC)C)OC)C)C)C)OC7CCC(C(O7)C)OC)(C)O)C
8,10048096,"[11-(4-hydroxyanilino)-7-methoxy-12-methyl-10,13-dioxo-2,5-diazatetracyclo[7.4.0.02,7.04,6]trideca-1(9),11-dien-8-yl]methyl carbamate",CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)NC5=CC=C(C=C5)O
9,101641497,"(12E,14Z)-16-ethyl-6,8,9-trihydroxy-12-(methoxymethyl)-25,27-dimethyl-2-propyl-1-oxa-4-azacyclooctacosa-12,14-diene-3,20,28-trione",CCCC1C(=O)NCC(CC(C(CC/C(=C\C=C/C(CCCC(=O)CCCCC(CC(C(=O)O1)C)C)CC)/COC)O)O)O
